The Minilog;/the-minilog.png;6;21;2,75;38,8;Shortboard;565
The Wide Glider;/the-wide-glider.png;7,1;21,75;2,75;44,16;Funboard;685
The Golden Ratio;/the-golden-ratio.png;6,3;21,85;2,9;43,22;Funboard;695
Mahi Mahi;/mahi-mahi.png;5,4;20,75;2,3;29,39;Fish;645
The Emerald Glider;/the-emerald-glider.png;9,2;22,8;2,8;65,4;Longboard;895
The Bomb;/the-bomb.png;5,5;21;2,5;33,7;Shortboard;645
Walden Magic;/walden-magic.png;9,6;19,4;3;80;Longboard;1025
Naish One;/naish-one.png;12,6;30;6;301;SUP;854
Six Tourer;/six-tourer.png;11,6;32;6;270;SUP;611
Naish Maliko;/naish-maliko.png;14;25;6;330;SUP;1304
